"x","y"
0,4.79424e-20
0,2.23953e-20
0,2.01937e-19
0,7.15629e-12
0,1.01708e-11
0,1.08556e-11
0,1.06627e-11
0,1.05205e-11
0,1.08359e-11
0,1.1258e-11
0,1.15586e-11
0,1.19264e-11
0,1.24194e-11
0,1.31014e-11
0,1.39947e-11
0,1.54521e-11
0,1.81964e-11
0,2.37496e-11
0,3.26695e-11
0.00065,3.31176e-11
0.00149717,3.37155e-11
0.00264084,3.45481e-11
0.0041848,3.57209e-11
0.00623312,3.73678e-11
0.00895057,3.97255e-11
0.0125557,4.31892e-11
0.0173385,4.8459e-11
0.0236837,5.6866e-11
0.0321017,7.11708e-11
0.0432695,9.7739e-11
0.0580855,1.53305e-10
0.0777414,2.89699e-10
0.103818,7.04481e-10
0.136318,2.2096e-09
0.168818,7.02635e-09
0.201318,2.23112e-08
0.233818,6.98387e-08
0.266318,2.11168e-07
0.298818,5.92663e-07
0.331318,1.42644e-06
0.363818,2.85897e-06
0.396318,4.79846e-06
0.428818,6.92777e-06
0.461318,8.9036e-06
0.493818,1.05125e-05
0.526318,1.18212e-05
0.558818,1.30237e-05
0.591318,1.42301e-05
0.623818,1.5476e-05
0.65,1.65135e-05

"x","y"
0,2.27232e-20
0,2.5205e-20
0,-8.27482e-20
0,5.10193e-12
0,7.27849e-12
0,7.80069e-12
0,7.67936e-12
0,7.58334e-12
0,7.79294e-12
0,8.1098e-12
0,8.35667e-12
0,8.67349e-12
0,9.11873e-12
0,9.77979e-12
0,1.07303e-11
0,1.23778e-11
0,1.5687e-11
0,2.27918e-11
0,3.45926e-11
0.00065,3.49637e-11
0.00149717,3.54574e-11
0.00264084,3.61421e-11
0.0041848,3.71013e-11
0.00623312,3.84389e-11
0.00895057,4.03365e-11
0.0125557,4.30927e-11
0.0173385,4.72266e-11
0.0236837,5.37086e-11
0.0321017,6.45181e-11
0.0432695,8.41554e-11
0.0580855,1.24323e-10
0.0777414,2.21008e-10
0.103818,5.11007e-10
0.136318,1.55719e-09
0.168818,4.90885e-09
0.201318,1.55997e-08
0.233818,4.91356e-08
0.266318,1.50295e-07
0.298818,4.29962e-07
0.331318,1.06352e-06
0.363818,2.19485e-06
0.396318,3.77878e-06
0.428818,5.55633e-06
0.461318,7.21228e-06
0.493818,8.52503e-06
0.526318,9.53653e-06
0.558818,1.04369e-05
0.591318,1.13345e-05
0.623818,1.22612e-05
0.65,1.30325e-05

"x","y"
0,3.03916e-20
0,2.91152e-20
0,-5.00164e-20
0,4.21201e-12
0,6.04887e-12
0,6.50778e-12
0,6.40772e-12
0,6.36726e-12
0,6.48808e-12
0,6.71987e-12
0,6.90029e-12
0,7.12499e-12
0,7.43599e-12
0,7.88751e-12
0,8.48452e-12
0,9.50757e-12
0,1.14946e-11
0,1.56654e-11
0,2.29797e-11
0.00065,2.32564e-11
0.00149717,2.36249e-11
0.00264084,2.41371e-11
0.0041848,2.48562e-11
0.00623312,2.58623e-11
0.00895057,2.72955e-11
0.0125557,2.93883e-11
0.0173385,3.25486e-11
0.0236837,3.75461e-11
0.0321017,4.59667e-11
0.0432695,6.14506e-11
0.0580855,9.3556e-11
0.0777414,1.71961e-10
0.103818,4.10599e-10
0.136318,1.28382e-09
0.168818,4.11672e-09
0.201318,1.32566e-08
0.233818,4.22578e-08
0.266318,1.30823e-07
0.298818,3.78868e-07
0.331318,9.45941e-07
0.363818,1.96523e-06
0.396318,3.38712e-06
0.428818,4.96571e-06
0.461318,6.42524e-06
0.493818,7.6114e-06
0.526318,8.58189e-06
0.558818,9.47474e-06
0.591318,1.03682e-05
0.623818,1.1289e-05
0.65,1.2055e-05

"x","y"
0,6.65268e-20
0,1.26826e-19
0,-7.21828e-19
0,3.99424e-12
0,5.64617e-12
0,6.01815e-12
0,5.88506e-12
0,5.78325e-12
0,5.9049e-12
0,6.08421e-12
0,6.20538e-12
0,6.34688e-12
0,6.50654e-12
0,6.70066e-12
0,6.88833e-12
0,7.12638e-12
0,7.48949e-12
0,8.02706e-12
0,8.72905e-12
0.00065,8.92623e-12
0.00149717,9.19031e-12
0.00264084,9.55996e-12
0.0041848,1.0084e-11
0.00623312,1.08263e-11
0.00895057,1.19004e-11
0.0123655,1.34101e-11
0.0168959,1.57264e-11
0.0229063,1.94548e-11
0.0308801,2.58518e-11
0.0414587,3.78024e-11
0.055493,6.28114e-11
0.0741118,1.23698e-10
0.0988127,3.05072e-10
0.131006,9.90807e-10
0.163506,3.24664e-09
0.196006,1.05724e-08
0.228506,3.40204e-08
0.261006,1.06814e-07
0.293506,3.18335e-07
0.326006,8.43718e-07
0.358506,1.87286e-06
0.391006,3.40512e-06
0.423506,5.12705e-06
0.456006,6.65331e-06
0.488506,7.84806e-06
0.521006,8.83986e-06
0.553506,9.78904e-06
0.586006,1.07656e-05
0.618506,1.17874e-05
0.65,1.28217e-05

"x","y"
0,2.44983e-20
0,-2.49851e-21
0,-9.04422e-20
0,2.81904e-12
0,3.98405e-12
0,4.24538e-12
0,4.14867e-12
0,4.07598e-12
0,4.15573e-12
0,4.2774e-12
0,4.36096e-12
0,4.45824e-12
0,4.56726e-12
0,4.7065e-12
0,4.83588e-12
0,4.99385e-12
0,5.23689e-12
0,5.59905e-12
0,6.02985e-12
0.00065,6.16652e-12
0.00151233,6.3531e-12
0.00267648,6.61434e-12
0.00422092,6.97847e-12
0.00623384,7.48489e-12
0.00890431,8.21678e-12
0.0124471,9.3047e-12
0.0171473,1.09836e-11
0.0233828,1.3707e-11
0.0316553,1.84282e-11
0.0426301,2.73709e-11
0.05719,4.64344e-11
0.0765062,9.40091e-11
0.102132,2.40501e-10
0.134632,7.9251e-10
0.167132,2.6047e-09
0.199632,8.50823e-09
0.232132,2.7459e-08
0.264632,8.65031e-08
0.297132,2.58751e-07
0.329632,6.87669e-07
0.362132,1.53432e-06
0.394632,2.80301e-06
0.427132,4.23161e-06
0.459632,5.47984e-06
0.492132,6.4233e-06
0.524632,7.18093e-06
0.557132,7.89916e-06
0.589632,8.63802e-06
0.622132,9.41066e-06
0.65,1.00996e-05

"x","y"
0,6.38165e-20
0,7.06225e-20
0,1.40299e-19
0,2.43749e-12
0,3.47596e-12
0,3.72829e-12
0,3.65587e-12
0,3.61469e-12
0,3.66465e-12
0,3.76333e-12
0,3.82718e-12
0,3.89305e-12
0,3.97398e-12
0,4.08796e-12
0,4.19113e-12
0,4.29929e-12
0,4.4659e-12
0,4.71936e-12
0,5.05903e-12
0.00065,5.17531e-12
0.00149717,5.33109e-12
0.00264084,5.54921e-12
0.00415812,5.85308e-12
0.00617104,6.28323e-12
0.00884151,6.90529e-12
0.0123843,7.83068e-12
0.0170845,9.26021e-12
0.02332,1.15822e-11
0.0315925,1.56147e-11
0.0425673,2.32702e-11
0.0571272,3.96383e-11
0.0764434,8.06449e-11
0.102069,2.07549e-10
0.134569,6.88738e-10
0.167069,2.2786e-09
0.199569,7.48886e-09
0.232069,2.43015e-08
0.264569,7.693e-08
0.297069,2.3084e-07
0.329569,6.13339e-07
0.362069,1.36525e-06
0.394569,2.48058e-06
0.427069,3.72362e-06
0.459569,4.81504e-06
0.492069,5.67398e-06
0.524569,6.40194e-06
0.557069,7.10616e-06
0.589569,7.83051e-06
0.622069,8.5872e-06
0.65,9.26413e-06

"x","y"
0,1.904e-20
0,2.29238e-20
0,6.79584e-20
0,2.23319e-12
0,3.20786e-12
0,3.43163e-12
0,3.35905e-12
0,3.3477e-12
0,3.35105e-12
0,3.44072e-12
0,3.4976e-12
0,3.55721e-12
0,3.63791e-12
0,3.74737e-12
0,3.88198e-12
0,4.09309e-12
0,4.48226e-12
0,5.14337e-12
0,6.11023e-12
0.00065,6.21962e-12
0.00149717,6.36595e-12
0.00264084,6.57048e-12
0.0041848,6.85988e-12
0.00623312,7.2688e-12
0.00895057,7.85882e-12
0.0125557,8.73441e-12
0.0173385,1.00836e-11
0.0236837,1.22702e-11
0.0321017,1.60632e-11
0.0432695,2.32715e-11
0.0580855,3.87587e-11
0.0777414,7.79788e-11
0.103818,2.01698e-10
0.136318,6.70431e-10
0.168818,2.24071e-09
0.201318,7.47554e-09
0.233818,2.47499e-08
0.266318,8.04718e-08
0.298818,2.5096e-07
0.331318,7.05032e-07
0.363818,1.67319e-06
0.396318,3.20959e-06
0.428818,4.96022e-06
0.461318,6.39109e-06
0.493818,7.37076e-06
0.526318,8.14843e-06
0.558818,8.91764e-06
0.591318,9.73377e-06
0.623818,1.06031e-05
0.65,1.13387e-05

"x","y"
0,1.65034e-20
0,1.30548e-20
0,-5.49111e-21
0,1.60965e-12
0,2.31267e-12
0,2.47461e-12
0,2.42261e-12
0,2.4126e-12
0,2.41304e-12
0,2.47701e-12
0,2.51783e-12
0,2.56081e-12
0,2.62007e-12
0,2.70525e-12
0,2.81328e-12
0,2.98089e-12
0,3.29101e-12
0,3.89619e-12
0,4.61611e-12
0.00065,4.69578e-12
0.00149717,4.80231e-12
0.00264084,4.95114e-12
0.0041848,5.16158e-12
0.00623312,5.45868e-12
0.00895057,5.88689e-12
0.0125557,6.52151e-12
0.0173385,7.49779e-12
0.0236837,9.07712e-12
0.0321017,1.1811e-11
0.0432695,1.69957e-11
0.0580855,2.81136e-11
0.0777414,5.62276e-11
0.103818,1.44856e-10
0.136318,4.80759e-10
0.168818,1.60724e-09
0.201318,5.36926e-09
0.233818,1.7813e-08
0.266318,5.81223e-08
0.298818,1.8252e-07
0.331318,5.20198e-07
0.363818,1.26099e-06
0.396318,2.4784e-06
0.428818,3.91856e-06
0.461318,5.11738e-06
0.493818,5.90546e-06
0.526318,6.49121e-06
0.558818,7.05981e-06
0.591318,7.6644e-06
0.623818,8.30899e-06
0.65,8.85365e-06

"x","y"
0,2.14716e-20
0,7.33447e-21
0,3.40456e-20
0,1.43939e-12
0,2.08345e-12
0,2.24066e-12
0,2.20463e-12
0,2.19146e-12
0,2.19693e-12
0,2.25067e-12
0,2.27756e-12
0,2.30561e-12
0,2.34553e-12
0,2.41185e-12
0,2.49424e-12
