x,y
0.0229428,1.49E-10
0.0310723,1.54E-10
0.0418574,1.60E-10
0.0559141,1.69E-10
0.0742345,1.81E-10
0.0981122,1.99E-10
0.128676,2.24E-10
0.161176,2.56E-10
0.193676,2.94E-10
0.226176,3.37E-10
0.258676,3.86E-10
0.291176,4.43E-10
0.323676,5.11E-10
0.356176,5.91E-10
0.388676,6.91E-10
0.421176,8.20E-10
0.453676,1.00E-09
0.486176,1.29E-09
0.518676,1.79E-09
0.551176,2.72E-09
0.583676,4.54E-09
0.616176,8.11E-09
0.648676,1.51E-08
0.65,1.55E-08
0,2.03E-20
0,2.61E-20
0,9.09E-20
0,2.94E-14
0,4.50E-14
0,5.13E-14
0,5.35E-14
0,5.70E-14
0,6.22E-14
0,7.22E-14
0,8.74E-14
0,1.09E-13
0,1.44E-13
0,2.05E-13
0,3.21E-13
0,4.30E-13
0,6.22E-13
0,9.92E-13
0,1.77E-12
0,2.82E-12
0.00065,2.83E-12
0.00151233,2.84E-12
0.00267648,2.85E-12
0.00424809,2.87E-12
0.00636975,2.89E-12
0.00918449,2.93E-12
0.0129187,2.97E-12
0.0178728,3.03E-12
0.0244452,3.12E-12
0.0331646,3.23E-12
0.0447323,3.40E-12
0.0600788,3.63E-12
0.0804384,3.96E-12
0.106974,4.46E-12
0.139474,5.20E-12
0.171974,6.17E-12
0.204474,7.48E-12
0.236974,9.40E-12
0.269474,1.24E-11
0.301974,1.72E-11
0.334474,2.55E-11
0.366974,3.99E-11
0.399474,6.56E-11
0.431974,1.12E-10
0.464474,1.95E-10
0.496974,3.45E-10
0.529474,6.11E-10
0.561974,1.08E-09
0.594474,1.88E-09
0.626974,3.23E-09
0.65,4.69E-09
0,3.57E-20
0,5.23E-20
0,-8.24E-20
0,3.75E-13
0,5.70E-13
0,6.52E-13
0,6.85E-13
0,7.37E-13
0,9.30E-13
0,1.31E-12
0,1.92E-12
0,2.99E-12
0,5.12E-12
0,9.58E-12
0,1.95E-11
0,4.36E-11
0,6.14E-11
0.00065,6.15E-11
0.00149717,6.17E-11
0.00262107,6.20E-11
0.00411213,6.24E-11
0.00609025,6.29E-11
0.00871457,6.36E-11
0.0121962,6.45E-11
0.0168151,6.57E-11
0.0229428,6.74E-11
0.0310723,6.96E-11
0.0418574,7.28E-11
0.0559141,7.71E-11
0.0742345,8.31E-11
0.0976847,9.15E-11
0.126059,1.03E-10
0.158559,1.19E-10
0.191059,1.38E-10
0.223559,1.60E-10
0.256059,1.85E-10
0.288559,2.16E-10
0.321059,2.54E-10
0.353559,3.03E-10
0.386059,3.71E-10
0.418559,4.76E-10
0.451059,6.55E-10
0.483559,9.92E-10
0.516059,1.67E-09
0.548559,3.07E-09
0.581059,5.94E-09
0.613559,1.17E-08
0.646059,2.32E-08
0.65,2.52E-08
0,5.19E-19
0,4.42E-19
0,1.33E-18
0,1.80E-11
0,3.02E-11
0,3.86E-11
0,4.43E-11
0,4.91E-11
0,5.53E-11
0,6.01E-11
0,6.78E-11
0,8.11E-11
0,1.05E-10
0,1.52E-10
0,2.53E-10
0,5.15E-10
0,1.21E-09
0,3.06E-09
0,4.88E-09
0,7.41E-09
0.00065,7.42E-09
0.00151233,7.43E-09
0.00267648,7.45E-09
0.00422092,7.47E-09
0.00626988,7.49E-09
0.00898816,7.53E-09
0.0125944,7.58E-09
0.0173787,7.65E-09
0.0237259,7.74E-09
0.0321464,7.86E-09
0.0433177,8.02E-09
0.0581383,8.24E-09
0.0778003,8.55E-09
0.103885,8.97E-09
0.136385,9.55E-09
0.168885,1.02E-08
0.201385,1.09E-08
0.233885,1.18E-08
0.266385,1.29E-08
0.298885,1.43E-08
0.331385,1.63E-08
0.363885,1.91E-08
0.396385,2.31E-08
0.428885,2.88E-08
0.461385,3.71E-08
0.493885,4.96E-08
0.526385,6.85E-08
0.558885,9.78E-08
0.591385,1.43E-07
0.623885,2.12E-07
0.65,2.92E-07
0,4.13E-19
0,4.57E-19
0,-4.50E-20
